model,press
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.633477077
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.638949006
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.638958873
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.642530073
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.645456138
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.650126707
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.650446445
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.650968785
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.65119498
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx,3.651282237
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.653468108
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.654033539
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.657593782
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.65782759
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.658192672
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx,3.658918625
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.660514379
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx,3.660781695
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.660884081
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.66170735
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.662190481
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.662819378
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.662941269
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.663070902
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.663351952
Amyloid_PET ~ pTau217 + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.663653534
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.664176897
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.664507923
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.664655824
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.665072237
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + Calculated_Consensus_dx + apoe_ternary,3.665678025
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.666135565
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.666588509
Amyloid_PET ~ ptau231 + pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.66785892
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.667867876
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.668242088
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.668298063
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx,3.668866058
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_binary,3.668952512
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.66930951
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + Calculated_Consensus_dx + apoe_ternary,3.66972999
Amyloid_PET ~ pTau217 + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.670204031
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx,3.670436194
Amyloid_PET ~ pTau217 + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.671196879
Amyloid_PET ~ pTau217 + NFL + Ab_ratio + sex + Calculated_Consensus_dx + apoe_ternary,3.671205912
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.671502893
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.672350708
Amyloid_PET ~ ptau231 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.67253996
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx,3.672594039
Amyloid_PET ~ ptau181 + pTau217 + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.673901286
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + time_diff + Calculated_Consensus_dx + apoe_ternary,3.674043294
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.674175236
Amyloid_PET ~ pTau217 + GFAP + NFL + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_binary,3.674539921
Amyloid_PET ~ pTau217 + Ab_ratio + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.674619913
Amyloid_PET ~ ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + Calculated_Consensus_dx + apoe_ternary,3.674723179
Amyloid_PET ~ ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx,3.674795474
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + Ab_ratio + age_at_appointment + sex + Calculated_Consensus_dx + apoe_ternary,3.675050438
Amyloid_PET ~ ptau231 + ptau181 + pTau217 + GFAP + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.675347503
Amyloid_PET ~ pTau217 + GFAP + Ab_ratio + sex + Calculated_Consensus_dx + apoe_binary,3.675490405
Amyloid_PET ~ ptau181 + pTau217 + NFL + Ab_ratio + age_at_appointment + time_diff + sex + Calculated_Consensus_dx + apoe_ternary,3.675628601
