"model","logloss"
"amyloid_binary ~ ptau231 + apoe_ternary",0.296553263625208
"amyloid_binary ~ ptau181 + apoe_ternary",0.301862981107342
"amyloid_binary ~ pTau217 + apoe_ternary",0.167640558380082
"amyloid_binary ~ GFAP + apoe_ternary",0.349790840302838
"amyloid_binary ~ NFL + apoe_ternary",0.373403975817189
"amyloid_binary ~ Ab_ratio + apoe_ternary",0.335443021095943
"amyloid_binary ~ ptau231 + ptau181 + apoe_ternary",0.289992425618268
"amyloid_binary ~ ptau231 + pTau217 + apoe_ternary",0.169911386270576
"amyloid_binary ~ ptau231 + GFAP + apoe_ternary",0.288472136994871
"amyloid_binary ~ ptau231 + NFL + apoe_ternary",0.296735877955601
"amyloid_binary ~ ptau231 + Ab_ratio + apoe_ternary",0.276381594578381
"amyloid_binary ~ ptau231 + age_at_appointment + apoe_ternary",0.280596606584396
"amyloid_binary ~ ptau231 + time_diff + apoe_ternary",0.29580651085375
"amyloid_binary ~ ptau231 + sex + apoe_ternary",0.298696568619306
"amyloid_binary ~ ptau231 + Calculated_Consensus_dx + apoe_ternary",0.292923702530555
"amyloid_binary ~ ptau181 + pTau217 + apoe_ternary",0.166901178694455
"amyloid_binary ~ ptau181 + GFAP + apoe_ternary",0.293818401076667
"amyloid_binary ~ ptau181 + NFL + apoe_ternary",0.301077967369113
"amyloid_binary ~ ptau181 + Ab_ratio + apoe_ternary",0.286826019322584
"amyloid_binary ~ ptau181 + age_at_appointment + apoe_ternary",0.289203960323074
"amyloid_binary ~ ptau181 + time_diff + apoe_ternary",0.30053951820988
"amyloid_binary ~ ptau181 + sex + apoe_ternary",0.303904059825115
"amyloid_binary ~ ptau181 + Calculated_Consensus_dx + apoe_ternary",0.30089246172896
"amyloid_binary ~ pTau217 + GFAP + apoe_ternary",0.167996834188605
"amyloid_binary ~ pTau217 + NFL + apoe_ternary",0.167746794146339
"amyloid_binary ~ pTau217 + Ab_ratio + apoe_ternary",0.164121752001158
"amyloid_binary ~ pTau217 + age_at_appointment + apoe_ternary",0.168095666686496
"amyloid_binary ~ pTau217 + time_diff + apoe_ternary",0.170782311542539
"amyloid_binary ~ pTau217 + sex + apoe_ternary",0.170009199704356
"amyloid_binary ~ pTau217 + Calculated_Consensus_dx + apoe_ternary",0.167590113485238
"amyloid_binary ~ GFAP + NFL + apoe_ternary",0.350983258508092
"amyloid_binary ~ GFAP + Ab_ratio + apoe_ternary",0.306550281137915
"amyloid_binary ~ GFAP + age_at_appointment + apoe_ternary",0.327867712664693
"amyloid_binary ~ GFAP + time_diff + apoe_ternary",0.349487717037494
"amyloid_binary ~ GFAP + sex + apoe_ternary",0.350777087899907
"amyloid_binary ~ GFAP + Calculated_Consensus_dx + apoe_ternary",0.345931799527689
"amyloid_binary ~ NFL + Ab_ratio + apoe_ternary",0.331245707330874
"amyloid_binary ~ NFL + age_at_appointment + apoe_ternary",0.342194585298371
"amyloid_binary ~ NFL + time_diff + apoe_ternary",0.374300294652592
"amyloid_binary ~ NFL + sex + apoe_ternary",0.374580036086487
"amyloid_binary ~ NFL + Calculated_Consensus_dx + apoe_ternary",0.365243480887068
"amyloid_binary ~ Ab_ratio + age_at_appointment + apoe_ternary",0.314858474798639
"amyloid_binary ~ Ab_ratio + time_diff + apoe_ternary",0.33674550571576
"amyloid_binary ~ Ab_ratio + sex + apoe_ternary",0.337558708794168
"amyloid_binary ~ Ab_ratio + Calculated_Consensus_dx + apoe_ternary",0.329558588705278
"amyloid_binary ~ ptau231 + ptau181 + pTau217 + apoe_ternary",0.167816179198841
"amyloid_binary ~ ptau231 + ptau181 + GFAP + apoe_ternary",0.283675706747739
"amyloid_binary ~ ptau231 + ptau181 + NFL + apoe_ternary",0.290647941784778
"amyloid_binary ~ ptau231 + ptau181 + Ab_ratio + apoe_ternary",0.274793408960634
"amyloid_binary ~ ptau231 + ptau181 + age_at_appointment + apoe_ternary",0.278857029492165
"amyloid_binary ~ ptau231 + ptau181 + time_diff + apoe_ternary",0.289495507328071
"amyloid_binary ~ ptau231 + ptau181 + sex + apoe_ternary",0.292291821624268
"amyloid_binary ~ ptau231 + ptau181 + Calculated_Consensus_dx + apoe_ternary",0.289097857804914
"amyloid_binary ~ ptau231 + pTau217 + GFAP + apoe_ternary",0.170363320683689
"amyloid_binary ~ ptau231 + pTau217 + NFL + apoe_ternary",0.169866928791931
"amyloid_binary ~ ptau231 + pTau217 + Ab_ratio + apoe_ternary",0.16648708423623
"amyloid_binary ~ ptau231 + pTau217 + age_at_appointment + apoe_ternary",0.170612870287262
"amyloid_binary ~ ptau231 + pTau217 + time_diff + apoe_ternary",0.173044671789828
"amyloid_binary ~ ptau231 + pTau217 + sex + apoe_ternary",0.172351320029919
"amyloid_binary ~ ptau231 + pTau217 + Calculated_Consensus_dx + apoe_ternary",0.170032284632826
"amyloid_binary ~ ptau231 + GFAP + NFL + apoe_ternary",0.289464751286209
"amyloid_binary ~ ptau231 + GFAP + Ab_ratio + apoe_ternary",0.267238061465807
"amyloid_binary ~ ptau231 + GFAP + age_at_appointment + apoe_ternary",0.277807865896632
"amyloid_binary ~ ptau231 + GFAP + time_diff + apoe_ternary",0.28768759252182
"amyloid_binary ~ ptau231 + GFAP + sex + apoe_ternary",0.290425263409266
"amyloid_binary ~ ptau231 + GFAP + Calculated_Consensus_dx + apoe_ternary",0.287437309101221
"amyloid_binary ~ ptau231 + NFL + Ab_ratio + apoe_ternary",0.277461966609515
"amyloid_binary ~ ptau231 + NFL + age_at_appointment + apoe_ternary",0.280699661518122
"amyloid_binary ~ ptau231 + NFL + time_diff + apoe_ternary",0.296343159746011
"amyloid_binary ~ ptau231 + NFL + sex + apoe_ternary",0.298828577915618
"amyloid_binary ~ ptau231 + NFL + Calculated_Consensus_dx + apoe_ternary",0.293809878275127
"amyloid_binary ~ ptau231 + Ab_ratio + age_at_appointment + apoe_ternary",0.268887116144233
"amyloid_binary ~ ptau231 + Ab_ratio + time_diff + apoe_ternary",0.277400669972342
"amyloid_binary ~ ptau231 + Ab_ratio + sex + apoe_ternary",0.278647397291025
